GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
22100580,2022-01-06,1610612740,1610612744,101.0,96.0,20.0,22.0,46.0,43.0,0.422,0.425,0.235,0.212,0.793,0.833,False,False,22.0,43.0,0.425,0.212,0.833
22100572,2022-01-05,1610612742,1610612744,99.0,82.0,22.0,20.0,46.0,46.0,0.379,0.407,0.3,0.179,0.808,0.688,False,False,20.0,46.0,0.407,0.179,0.688
22100559,2022-01-03,1610612744,1610612748,115.0,108.0,39.0,24.0,43.0,49.0,0.489,0.411,0.368,0.405,0.846,0.895,True,True,39.0,43.0,0.489,0.368,0.846
22100544,2022-01-01,1610612762,1610612744,116.0,123.0,19.0,39.0,45.0,40.0,0.435,0.535,0.318,0.531,0.786,0.667,False,True,39.0,40.0,0.535,0.531,0.667
22100514,2021-12-28,1610612744,1610612743,86.0,89.0,20.0,24.0,43.0,44.0,0.417,0.41,0.313,0.242,0.516,0.65,True,False,20.0,43.0,0.417,0.313,0.516
22100490,2021-12-25,1610612756,1610612744,107.0,116.0,20.0,28.0,37.0,42.0,0.482,0.494,0.367,0.378,1.0,0.857,False,True,28.0,42.0,0.494,0.378,0.857
22100485,2021-12-23,1610612744,1610612763,113.0,104.0,30.0,18.0,39.0,42.0,0.488,0.422,0.475,0.308,0.778,0.833,True,True,30.0,39.0,0.488,0.475,0.778
22100462,2021-12-20,1610612744,1610612758,113.0,98.0,28.0,23.0,42.0,37.0,0.523,0.446,0.405,0.406,0.667,0.688,True,True,28.0,42.0,0.523,0.405,0.667
22100443,2021-12-18,1610612761,1610612744,119.0,100.0,26.0,26.0,41.0,47.0,0.5,0.468,0.368,0.306,0.652,0.714,False,False,26.0,47.0,0.468,0.306,0.714
22100435,2021-12-17,1610612738,1610612744,107.0,111.0,20.0,27.0,45.0,45.0,0.439,0.433,0.366,0.348,0.69,0.81,False,True,27.0,45.0,0.433,0.348,0.81
22100414,2021-12-14,1610612752,1610612744,96.0,105.0,18.0,28.0,35.0,49.0,0.361,0.455,0.381,0.375,0.909,0.741,False,True,28.0,49.0,0.455,0.375,0.741
22100405,2021-12-13,1610612754,1610612744,100.0,102.0,16.0,21.0,42.0,47.0,0.402,0.5,0.233,0.267,0.742,0.714,False,True,21.0,47.0,0.5,0.267,0.714
22100396,2021-12-11,1610612755,1610612744,102.0,93.0,19.0,21.0,44.0,42.0,0.461,0.4,0.333,0.25,0.885,0.722,False,False,21.0,42.0,0.4,0.25,0.722
22100376,2021-12-08,1610612744,1610612757,104.0,94.0,22.0,24.0,47.0,42.0,0.398,0.413,0.304,0.267,0.774,0.714,True,True,22.0,47.0,0.398,0.304,0.774
